Id,Description,Claimant,Price,Office,Category
283,"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,30.42,Northwest Territories,Computer Peripherals
284,Deluxe Rollaway Locking File with Drawer,Beth Thompson,415.88,Northwest Territories,Storage & Organization
285,Luxo Economy Swing Arm Lamp,Cindy Schnelling,19.94,Northwest Territories,Office Furnishings
286,"*Staples* vLetter Openers, 2/Pack",Cindy Schnelling,3.68,Northwest Territories,"Scissors, Rulers and Trimmers"
287,Staples 6 Outlet Surge,Nicole Hansen,11.97,Northwest Territories,Appliances
288,Acco Perma® 2700 Stacking Storage Drawers,Nicole Hansen,29.74,Northwest Territories,Storage & Organization
289,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Nicole Hansen,95.43,Northwest Territories,Storage & Organization
290,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Cari Schnelling,300.65,Northwest Territories,Appliances
291,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Cari Schnelling,45.19,Northwest Territories,Computer Peripherals
292,Lock-Up Easel 'Spel-Binder',Roy Skaria,28.53,Northwest Territories,Binders and Binder Accessories
293,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Susan Vittorini,5.68,Northwest Territories,Paper
294,"Tenex File Box, Personal Filing Tote with Lid, Black",Susan Vittorini,15.51,Northwest Territories,Storage & Organization
295,Fellowes Black Plastic Comb Bindings,Sylvia Foulston,5.81,Northwest Territories,Binders and Binder Accessories
296,Assorted Color Push Pins,Sylvia Foulston,1.81,Northwest Territories,Rubber Bands
297,HP Office Paper (20Lb. and 87 Bright),Chad Cunningham,6.68,Northwest Territories,Paper
298,Staples Vinyl Coated Paper Clips,Chad Cunningham,3.93,Northwest Territories,Rubber Bands
299,Canon MP41DH Printing Calculator,Carlos Daly,150.98,Northwest Territories,Office Machines
300,Newell 310,Carlos Daly,1.76,Northwest Territories,Pens & Art Supplies
301,Kensington 7 Outlet MasterPiece Power Center,Grant Carroll,177.98,Northwest Territories,Appliances
302,"DAX Metal Frame, Desktop, Stepped-Edge",Julia West,20.24,Northwest Territories,Office Furnishings
303,Bush Mission Pointe Library,Roy Skaria,150.98,Northwest Territories,Bookcases
304,Accessory21,Cindy Schnelling,20.99,Northwest Territories,Telephones and Communication
305,8860,Don Jones,65.99,Northwest Territories,Telephones and Communication
306,Array® Memo Cubes,Beth Thompson,5.18,Northwest Territories,Paper
307,"Fiskars 8"" Scissors, 2/Pack",Beth Thompson,17.24,Northwest Territories,"Scissors, Rulers and Trimmers"
308,12 Colored Short Pencils,Alan Barnes,2.6,Northwest Territories,Pens & Art Supplies
309,Pizazz® Global Quick File™,Alan Barnes,14.97,Northwest Territories,Storage & Organization
310,Imation 5.2GB DVD-RAM,Carl Ludwig,60.98,Northwest Territories,Computer Peripherals
311,Acco Perma® 2700 Stacking Storage Drawers,Carl Ludwig,29.74,Northwest Territories,Storage & Organization
312,Portable Personal File Box,Carl Ludwig,12.21,Northwest Territories,Storage & Organization
313,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Jamie Kunitz,29.14,Northwest Territories,Paper
314,Ibico Covers for Plastic or Wire Binding Elements,Heather Kirkland,11.5,Northwest Territories,Binders and Binder Accessories
315,Hanging Personal Folder File,Heather Kirkland,15.7,Northwest Territories,Storage & Organization
316,Tennsco Double-Tier Lockers,Heather Kirkland,225.02,Northwest Territories,Storage & Organization
317,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Doug Bickford,9.27,Northwest Territories,Paper
318,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Doug Bickford,6.84,Northwest Territories,"Scissors, Rulers and Trimmers"
319,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Doug Bickford,4.98,Northwest Territories,Computer Peripherals
320,PC Concepts 116 Key Quantum 3000 Keyboard,Doug Bickford,32.98,Northwest Territories,Computer Peripherals
321,Epson Stylus 1520 Color Inkjet Printer,Carlos Daly,500.97,Northwest Territories,Office Machines
322,Avery 494,Toby Braunhardt,2.61,Northwest Territories,Labels
323,Self-Adhesive Address Labels for Typewriters by Universal,Toby Braunhardt,7.31,Northwest Territories,Labels
324,Accessory37,Toby Braunhardt,20.99,Northwest Territories,Telephones and Communication
325,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Cari Schnelling,5.34,Northwest Territories,Binders and Binder Accessories
326,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Thomas Seio,4.06,Northwest Territories,Appliances
327,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Thomas Seio,99.99,Northwest Territories,Office Machines
328,"Peel & Seel® Recycled Catalog Envelopes, Brown",Thomas Seio,11.58,Northwest Territories,Envelopes
329,Cardinal Poly Pocket Divider Pockets for Ring Binders,Brendan Dodson,3.36,Northwest Territories,Binders and Binder Accessories
330,Canon PC1060 Personal Laser Copier,Brendan Dodson,699.99,Northwest Territories,Copiers and Fax
331,Sterling Rubber Bands by Alliance,Charlotte Melton,4.71,Northwest Territories,Rubber Bands
332,Newell 312,Beth Thompson,5.84,Northwest Territories,Pens & Art Supplies
333,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Beth Thompson,218.75,Northwest Territories,Tables
334,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Eugene Barchas,15.98,Northwest Territories,Computer Peripherals
335,"Avery Flip-Chart Easel Binder, Black",Michelle Lonsdale,22.38,Northwest Territories,Binders and Binder Accessories
336,GBC Binding covers,Michelle Lonsdale,12.95,Northwest Territories,Binders and Binder Accessories
337,R280,Grant Carroll,155.99,Northwest Territories,Telephones and Communication
338,Accessory9,Beth Paige,35.99,Northwest Territories,Telephones and Communication
339,U.S. Robotics 56K Internet Call Modem,Dorothy Wardle,99.99,Northwest Territories,Computer Peripherals
340,Tennsco Industrial Shelving,Muhammed MacIntyre,48.91,Northwest Territories,Storage & Organization
341,Staples Bulldog Clip,Charlotte Melton,3.78,Northwest Territories,Rubber Bands
342,"Micro Innovations Micro 3000 Keyboard, Black",Muhammed MacIntyre,26.31,Northwest Territories,Computer Peripherals
343,"Fellowes Basic 104-Key Keyboard, Platinum",Claudia Miner,20.95,Northwest Territories,Computer Peripherals
344,Xerox 1882,Claudia Miner,55.98,Northwest Territories,Paper
345,Carina Double Wide Media Storage Towers in Natural & Black,Claudia Miner,80.98,Northwest Territories,Storage & Organization
346,Portable Personal File Box,Brendan Dodson,12.21,Northwest Territories,Storage & Organization
347,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Dorothy Wardle,13.9,Northwest Territories,"Scissors, Rulers and Trimmers"
348,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Mike Pelletier,55.5,Northwest Territories,Office Furnishings
349,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Edward Hooks,5.28,Northwest Territories,Paper
350,Hon 94000 Series Round Tables,Edward Hooks,296.18,Northwest Territories,Tables
351,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Jamie Kunitz,92.23,Northwest Territories,Office Furnishings
352,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Jamie Kunitz,1270.99,Northwest Territories,Binders and Binder Accessories
353,"Global High-Back Leather Tilter, Burgundy",Julia West,122.99,Northwest Territories,Chairs & Chairmats
354,Poly Designer Cover & Back,Jeremy Lonsdale,18.99,Northwest Territories,Binders and Binder Accessories
355,"Lifetime Advantage™ Folding Chairs, 4/Carton",Jeremy Lonsdale,218.08,Northwest Territories,Chairs & Chairmats
356,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Jeremy Lonsdale,20.24,Northwest Territories,Office Furnishings
357,Stockwell Push Pins,Jeremy Lonsdale,2.18,Northwest Territories,Rubber Bands
358,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Cindy Schnelling,4.98,Northwest Territories,Computer Peripherals
359,8260,Heather Kirkland,65.99,Northwest Territories,Telephones and Communication
360,3390,Alan Barnes,65.99,Northwest Territories,Telephones and Communication
361,"Global Deluxe Stacking Chair, Gray",Hunter Glantz,50.98,Northwest Territories,Chairs & Chairmats
362,Bevis 36 x 72 Conference Tables,Hunter Glantz,124.49,Northwest Territories,Tables
363,"Avery Flip-Chart Easel Binder, Black",Hunter Glantz,22.38,Northwest Territories,Binders and Binder Accessories
364,"Howard Miller 16"" Diameter Gallery Wall Clock",Julia West,63.94,Northwest Territories,Office Furnishings
365,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Carlos Daly,4.13,Northwest Territories,Binders and Binder Accessories
366,"Global High-Back Leather Tilter, Burgundy",Barry French,122.99,Northwest Territories,Chairs & Chairmats
367,"Wilson Jones Hanging View Binder, White, 1""",Susan Vittorini,7.1,Northwest Territories,Binders and Binder Accessories
368,Boston 1730 StandUp Electric Pencil Sharpener,Carl Jackson,21.38,Northwest Territories,Pens & Art Supplies
369,Accessory31,Carl Jackson,35.99,Northwest Territories,Telephones and Communication
370,Accessory8,Carl Jackson,85.99,Northwest Territories,Telephones and Communication
371,Fellowes 17-key keypad for PS/2 interface,Alan Barnes,30.73,Northwest Territories,Computer Peripherals
372,Hanging Personal Folder File,Charlotte Melton,15.7,Northwest Territories,Storage & Organization
373,Ibico Covers for Plastic or Wire Binding Elements,Beth Thompson,11.5,Northwest Territories,Binders and Binder Accessories
374,Hoover Portapower™ Portable Vacuum,Bryan Mills,4.48,Northwest Territories,Appliances
375,Fellowes Command Center 5-outlet power strip,Alan Barnes,67.84,Northwest Territories,Appliances
376,SAFCO Arco Folding Chair,Alan Barnes,276.2,Northwest Territories,Chairs & Chairmats
377,Accessory12,Beth Paige,85.99,Northwest Territories,Telephones and Communication
378,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Mike Pelletier,200.98,Northwest Territories,Chairs & Chairmats
379,3390,Delfina Latchford,65.99,Northwest Territories,Telephones and Communication
380,GBC DocuBind TL300 Electric Binding System,Susan Vittorini,896.99,Northwest Territories,Binders and Binder Accessories
381,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Dorothy Wardle,15.01,Northwest Territories,Binders and Binder Accessories
382,Microsoft Internet Keyboard,Dorothy Wardle,20.97,Northwest Territories,Computer Peripherals
383,TDK 4.7GB DVD-R,Dorothy Wardle,10.01,Northwest Territories,Computer Peripherals
384,Xerox 1977,Susan Vittorini,6.68,Northwest Territories,Paper
385,DAX Solid Wood Frames,Jamie Kunitz,9.77,Northwest Territories,Office Furnishings
386,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Fred Wasserman,76.72,Northwest Territories,Appliances
387,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Doug Bickford,59.98,Northwest Territories,Appliances
388,8260,Fred Wasserman,65.99,Northwest Territories,Telephones and Communication
389,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Susan Vittorini,23.99,Northwest Territories,Envelopes
390,Multimedia Mailers,Doug Bickford,162.93,Northwest Territories,Envelopes
391,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Claudia Miner,10.94,Northwest Territories,Envelopes
392,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Claudia Miner,40.98,Northwest Territories,Binders and Binder Accessories
393,"DXL™ Angle-View Binders with Locking Rings, Black",Frank Price,5.99,Northwest Territories,Binders and Binder Accessories
394,8260,Frank Price,65.99,Northwest Territories,Telephones and Communication
395,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Dorothy Wardle,4.57,Northwest Territories,Binders and Binder Accessories
396,Laser & Ink Jet Business Envelopes,Dorothy Wardle,10.67,Northwest Territories,Envelopes
397,Okidata ML390 Turbo Dot Matrix Printers,Dorothy Wardle,442.14,Northwest Territories,Office Machines
398,"Eldon Regeneration Recycled Desk Accessories, Smoke",Allen Rosenblatt,1.74,Northwest Territories,Office Furnishings
399,Accessory36,Dorothy Wardle,55.99,Northwest Territories,Telephones and Communication
400,"Linden® 12"" Wall Clock With Oak Frame",Julia West,33.98,Northwest Territories,Office Furnishings
401,2160i,Ralph Knight,200.99,Northwest Territories,Telephones and Communication
402,Global Deluxe High-Back Office Chair in Storm,Michelle Lonsdale,135.99,Northwest Territories,Chairs & Chairmats
403,"Howard Miller 16"" Diameter Gallery Wall Clock",Charlotte Melton,63.94,Northwest Territories,Office Furnishings
404,Canon MP100DHII Printing Calculator,Charlotte Melton,140.99,Northwest Territories,Office Machines
405,Accessory21,Allen Rosenblatt,20.99,Northwest Territories,Telephones and Communication
406,Verbatim DVD-R 4.7GB authoring disc,Neola Schneider,39.24,Northwest Territories,Computer Peripherals
407,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Neola Schneider,7.64,Northwest Territories,Paper
408,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Joy Bell,54.74,Northwest Territories,Office Furnishings
409,Avery 51,Monica Federle,6.3,Northwest Territories,Labels
410,SANFORD Liquid Accent™ Tank-Style Highlighters,Jamie Kunitz,2.84,Northwest Territories,Pens & Art Supplies
411,Avery Poly Binder Pockets,Susan Vittorini,3.58,Northwest Territories,Binders and Binder Accessories
412,"Dixon My First Ticonderoga Pencil, #2",Susan Vittorini,5.85,Northwest Territories,Pens & Art Supplies
413,Acco® Hot Clips™ Clips to Go,Susan Vittorini,3.29,Northwest Territories,Rubber Bands
414,Fiskars® Softgrip Scissors,Charles McCrossin,10.98,Northwest Territories,"Scissors, Rulers and Trimmers"
415,"Elite 5"" Scissors",Cari Schnelling,8.45,Northwest Territories,"Scissors, Rulers and Trimmers"
416,Eldon Wave Desk Accessories,Doug Bickford,5.89,Northwest Territories,Office Furnishings
417,Avery 478,Don Miller,4.91,Northwest Territories,Labels
418,Boston 16701 Slimline Battery Pencil Sharpener,Don Miller,15.94,Northwest Territories,Pens & Art Supplies
419,Xerox 1982,Fred Wasserman,22.84,Northwest Territories,Paper
420,"Soundgear Copyboard Conference Phone, Optional Battery",Bryan Mills,204.1,Northwest Territories,Office Machines
421,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Carlos Daly,98.31,Northwest Territories,Labels
422,Euro Pro Shark Stick Mini Vacuum,Joy Bell,60.98,Northwest Territories,Appliances
423,Panasonic KX-P1150 Dot Matrix Printer,Claudia Miner,145.45,Northwest Territories,Office Machines
424,Recycled Eldon Regeneration Jumbo File,Claudia Miner,12.28,Northwest Territories,Storage & Organization
425,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Beth Thompson,107.53,Northwest Territories,Office Furnishings
426,Avery 498,Allen Rosenblatt,2.89,Northwest Territories,Labels
427,Premium Transparent Presentation Covers by GBC,Beth Thompson,20.98,Northwest Territories,Binders and Binder Accessories
428,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Beth Thompson,100.8,Northwest Territories,Tables
429,GBC VeloBinder Electric Binding Machine,Susan Vittorini,120.98,Northwest Territories,Binders and Binder Accessories
430,Brown Kraft Recycled Envelopes,Sylvia Foulston,16.98,Northwest Territories,Envelopes
431,"Acme® 8"" Straight Scissors",Joy Bell,12.98,Northwest Territories,"Scissors, Rulers and Trimmers"
432,Bell Sonecor JB700 Caller ID,Becky Castell,7.99,Northwest Territories,Telephones and Communication
433,A1228,Carlos Daly,195.99,Northwest Territories,Telephones and Communication
434,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Cari Schnelling,136.98,Northwest Territories,Office Furnishings
435,8290,Jim Radford,125.99,Northwest Territories,Telephones and Communication
436,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Allen Rosenblatt,115.99,Northwest Territories,Office Machines
437,Fellowes Neat Ideas® Storage Cubes,Dorothy Badders,32.48,Northwest Territories,Storage & Organization
438,"Lesro Round Back Collection Coffee Table, End Table",Dorothy Badders,182.55,Northwest Territories,Tables
439,Avery 492,Mike Pelletier,2.88,Northwest Territories,Labels
440,Newell 343,Mike Pelletier,2.94,Northwest Territories,Pens & Art Supplies
441,Recycled Eldon Regeneration Jumbo File,Doug Bickford,12.28,Northwest Territories,Storage & Organization
442,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Doug Bickford,349.45,Northwest Territories,Tables
443,Canon S750 Color Inkjet Printer,Susan Vittorini,120.97,Northwest Territories,Office Machines
444,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Andrew Gjertsen,21.98,Northwest Territories,Pens & Art Supplies
445,"AT&T Black Trimline Phone, Model 210",Muhammed MacIntyre,15.99,Northwest Territories,Office Machines
446,Newell 318,Muhammed MacIntyre,2.78,Northwest Territories,Pens & Art Supplies
447,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Muhammed MacIntyre,6.47,Northwest Territories,Pens & Art Supplies
448,Staples Vinyl Coated Paper Clips,Muhammed MacIntyre,3.93,Northwest Territories,Rubber Bands
449,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Jim Radford,136.98,Northwest Territories,Office Furnishings
450,Avery 491,Bryan Davis,4.13,Northwest Territories,Labels
451,Fellowes Black Plastic Comb Bindings,Anthony Johnson,5.81,Northwest Territories,Binders and Binder Accessories
452,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Anthony Johnson,9.65,Northwest Territories,Office Furnishings
